Integration_Event_ID,Employee_ID,Resource,Requested_On,Status,Fulfilled_On
INT-60045,EMP7008,System Access,2026-07-07,Blocked,
INT-60046,EMP7009,Laptop,2026-07-13,Fulfilled,2026-07-07
INT-60047,EMP7009,Email,2026-07-18,Blocked,
INT-60048,EMP7009,Badge,2026-07-08,Fulfilled,2026-07-02
INT-60049,EMP7009,VPN,2026-07-11,Fulfilled,2026-07-11
INT-60050,EMP7009,System Access,2026-07-28,Fulfilled,2026-07-11
INT-60051,EMP7010,Laptop,2026-07-28,Fulfilled,2026-07-02
INT-60052,EMP7010,Email,2026-07-31,Fulfilled,2026-07-08
INT-60053,EMP7010,Badge,2026-07-08,Requested,
INT-60054,EMP7010,VPN,2026-07-13,Fulfilled,2026-07-05
INT-60055,EMP7010,System Access,2026-07-19,Fulfilled,2026-07-13
INT-60056,EMP7011,Laptop,2026-07-16,Fulfilled,2026-07-14
INT-60057,EMP7011,Email,2026-07-09,Fulfilled,2026-07-07
INT-60058,EMP7011,Badge,2026-07-08,Fulfilled,2026-07-01
INT-60059,EMP7011,VPN,2026-07-16,Fulfilled,2026-07-08
INT-60060,EMP7011,System Access,2026-08-09,Requested,
INT-60061,EMP7012,Laptop,2026-07-29,Fulfilled,2026-07-02
INT-60062,EMP7012,Email,2026-08-07,Fulfilled,2026-07-03
INT-60063,EMP7012,Badge,2026-07-27,Fulfilled,2026-07-14
INT-60064,EMP7012,VPN,2026-08-02,Fulfilled,2026-06-30
INT-60065,EMP7012,System Access,2026-07-23,Fulfilled,2026-07-14
INT-60066,EMP7013,Laptop,2026-07-27,Requested,
INT-60067,EMP7013,Email,2026-07-05,Fulfilled,2026-07-01
INT-60068,EMP7013,Badge,2026-08-01,Fulfilled,2026-07-13
INT-60069,EMP7013,VPN,2026-08-05,Fulfilled,2026-07-05
INT-60070,EMP7013,System Access,2026-07-10,Blocked,
INT-60071,EMP7014,Laptop,2026-07-08,Fulfilled,2026-07-10
INT-60072,EMP7014,Email,2026-07-31,Requested,
INT-60073,EMP7014,Badge,2026-07-30,Fulfilled,2026-07-08
INT-60074,EMP7014,VPN,2026-07-23,Fulfilled,2026-07-10
INT-60075,EMP7014,System Access,2026-08-08,Fulfilled,2026-07-09
INT-60076,EMP7015,Laptop,2026-07-09,Fulfilled,2026-07-03
INT-60077,EMP7015,Email,2026-07-18,Fulfilled,2026-07-08
INT-60078,EMP7015,Badge,2026-07-29,Fulfilled,2026-07-08
INT-60079,EMP7015,VPN,2026-07-20,Fulfilled,2026-07-14
INT-60080,EMP7015,System Access,2026-07-17,Fulfilled,2026-07-04
INT-60081,EMP7016,Laptop,2026-07-06,Fulfilled,2026-07-01
INT-60082,EMP7016,Email,2026-07-21,Fulfilled,2026-07-02
INT-60083,EMP7016,Badge,2026-07-30,Requested,
INT-60084,EMP7016,VPN,2026-07-06,Requested,
INT-60085,EMP7016,System Access,2026-07-14,Fulfilled,2026-07-04
INT-60086,EMP7017,Laptop,2026-07-22,Fulfilled,2026-07-07
INT-60087,EMP7017,Email,2026-07-22,Fulfilled,2026-07-06
INT-60088,EMP7017,Badge,2026-07-11,Requested,
INT-60089,EMP7017,VPN,2026-07-16,Fulfilled,2026-07-13
INT-60090,EMP7017,System Access,2026-07-16,Fulfilled,2026-07-08
INT-60091,EMP7018,Laptop,2026-07-14,Fulfilled,2026-07-02
INT-60092,EMP7018,Email,2026-07-19,Requested,
INT-60093,EMP7018,Badge,2026-07-12,Requested,
INT-60094,EMP7018,VPN,2026-07-21,Requested,
INT-60095,EMP7018,System Access,2026-08-05,Fulfilled,2026-07-13
INT-60096,EMP7019,Laptop,2026-07-05,Fulfilled,2026-07-04
INT-60097,EMP7019,Email,2026-07-19,Fulfilled,2026-07-06
INT-60098,EMP7019,Badge,2026-08-07,Requested,
INT-60099,EMP7019,VPN,2026-08-01,Fulfilled,2026-07-13
INT-60100,EMP7019,System Access,2026-08-03,Fulfilled,2026-07-05
INT-60101,EMP7020,Laptop,2026-07-28,Requested,
INT-60102,EMP7020,Email,2026-08-03,Fulfilled,2026-07-03
INT-60103,EMP7020,Badge,2026-07-12,Blocked,
INT-60104,EMP7020,VPN,2026-08-06,Fulfilled,2026-07-10
INT-60105,EMP7020,System Access,2026-07-28,Fulfilled,2026-07-15
INT-60106,EMP7021,Laptop,2026-07-29,Fulfilled,2026-07-11
INT-60107,EMP7021,Email,2026-08-07,Fulfilled,2026-07-13
INT-60108,EMP7021,Badge,2026-07-15,Fulfilled,2026-07-09
INT-60109,EMP7021,VPN,2026-07-24,Blocked,
INT-60110,EMP7021,System Access,2026-07-24,Blocked,
INT-60111,EMP7022,Laptop,2026-07-27,Fulfilled,2026-07-06
INT-60112,EMP7022,Email,2026-07-24,Fulfilled,2026-06-30
INT-60113,EMP7022,Badge,2026-07-06,Fulfilled,2026-07-11
INT-60114,EMP7022,VPN,2026-07-24,Fulfilled,2026-07-11
INT-60115,EMP7022,System Access,2026-08-04,Blocked,
INT-60116,EMP7023,Laptop,2026-07-15,Fulfilled,2026-07-05
INT-60117,EMP7023,Email,2026-07-30,Fulfilled,2026-07-09
INT-60118,EMP7023,Badge,2026-08-07,Fulfilled,2026-07-07
INT-60119,EMP7023,VPN,2026-08-04,Requested,
INT-60120,EMP7023,System Access,2026-08-02,Fulfilled,2026-07-14
INT-60121,EMP7024,Laptop,2026-07-06,Fulfilled,2026-07-05
INT-60122,EMP7024,Email,2026-07-15,Fulfilled,2026-07-07
INT-60123,EMP7024,Badge,2026-08-02,Fulfilled,2026-07-08
INT-60124,EMP7024,VPN,2026-07-20,Fulfilled,2026-07-15
INT-60125,EMP7024,System Access,2026-07-07,Requested,
INT-60126,EMP7025,Laptop,2026-07-12,Requested,
INT-60127,EMP7025,Email,2026-07-08,Fulfilled,2026-07-02
INT-60128,EMP7025,Badge,2026-08-01,Fulfilled,2026-06-30
INT-60129,EMP7025,VPN,2026-07-21,Fulfilled,2026-06-30
INT-60130,EMP7025,System Access,2026-07-25,Requested,
INT-60131,EMP7026,Laptop,2026-07-16,Fulfilled,2026-07-03
INT-60132,EMP7026,Email,2026-07-18,Fulfilled,2026-07-14
INT-60133,EMP7026,Badge,2026-07-20,Fulfilled,2026-07-13
INT-60134,EMP7026,VPN,2026-07-08,Requested,
INT-60135,EMP7026,System Access,2026-07-29,Requested,
INT-60136,EMP7027,Laptop,2026-08-09,Fulfilled,2026-07-11
INT-60137,EMP7027,Email,2026-07-06,Fulfilled,2026-07-05
INT-60138,EMP7027,Badge,2026-08-09,Fulfilled,2026-07-10
INT-60139,EMP7027,VPN,2026-08-02,Fulfilled,2026-07-11
INT-60140,EMP7027,System Access,2026-07-06,Fulfilled,2026-07-04
INT-60141,EMP7028,Laptop,2026-07-28,Fulfilled,2026-07-11
INT-60142,EMP7028,Email,2026-07-20,Blocked,
INT-60143,EMP7028,Badge,2026-08-04,Fulfilled,2026-07-06
INT-60144,EMP7028,VPN,2026-08-08,Fulfilled,2026-07-04
INT-60145,EMP7028,System Access,2026-08-07,Fulfilled,2026-07-04
INT-60146,EMP7029,Laptop,2026-07-21,Requested,
INT-60147,EMP7029,Email,2026-07-28,Fulfilled,2026-07-11
INT-60148,EMP7029,Badge,2026-07-07,Fulfilled,2026-07-08
INT-60149,EMP7029,VPN,2026-08-07,Blocked,
INT-60150,EMP7029,System Access,2026-07-13,Requested,
INT-60151,EMP7030,Laptop,2026-08-05,Fulfilled,2026-07-09
INT-60152,EMP7030,Email,2026-07-22,Fulfilled,2026-07-12
INT-60153,EMP7030,Badge,2026-07-18,Fulfilled,2026-07-13
INT-60154,EMP7030,VPN,2026-08-06,Fulfilled,2026-07-11
INT-60155,EMP7030,System Access,2026-07-12,Requested,
INT-60156,EMP7031,Laptop,2026-08-05,Fulfilled,2026-07-06
INT-60157,EMP7031,Email,2026-07-12,Fulfilled,2026-07-08
INT-60158,EMP7031,Badge,2026-07-08,Fulfilled,2026-07-06
INT-60159,EMP7031,VPN,2026-07-20,Requested,
INT-60160,EMP7031,System Access,2026-07-10,Fulfilled,2026-07-12
INT-60161,EMP7032,Laptop,2026-07-23,Requested,
INT-60162,EMP7032,Email,2026-07-30,Blocked,
INT-60163,EMP7032,Badge,2026-08-02,Fulfilled,2026-07-07
INT-60164,EMP7032,VPN,2026-07-05,Fulfilled,2026-07-10
INT-60165,EMP7032,System Access,2026-07-15,Fulfilled,2026-07-02
INT-60166,EMP7033,Laptop,2026-07-08,Fulfilled,2026-07-14
INT-60167,EMP7033,Email,2026-07-10,Fulfilled,2026-07-11
INT-60168,EMP7033,Badge,2026-07-06,Fulfilled,2026-07-15
INT-60169,EMP7033,VPN,2026-07-15,Blocked,
INT-60170,EMP7033,System Access,2026-07-17,Requested,
INT-60171,EMP7034,Laptop,2026-07-20,Fulfilled,2026-06-30
INT-60172,EMP7034,Email,2026-07-27,Fulfilled,2026-07-12
INT-60173,EMP7034,Badge,2026-08-04,Fulfilled,2026-07-14
INT-60174,EMP7034,VPN,2026-08-09,Fulfilled,2026-07-08
INT-60175,EMP7034,System Access,2026-07-06,Blocked,
INT-60176,EMP7035,Laptop,2026-07-21,Fulfilled,2026-07-13
INT-60177,EMP7035,Email,2026-07-25,Fulfilled,2026-07-10
INT-60178,EMP7035,Badge,2026-07-24,Fulfilled,2026-07-07
INT-60179,EMP7035,VPN,2026-08-05,Fulfilled,2026-07-09
INT-60180,EMP7035,System Access,2026-07-10,Fulfilled,2026-07-10
INT-60181,EMP7036,Laptop,2026-08-07,Fulfilled,2026-07-13
INT-60182,EMP7036,Email,2026-07-14,Requested,
INT-60183,EMP7036,Badge,2026-07-20,Fulfilled,2026-07-09
INT-60184,EMP7036,VPN,2026-07-09,Fulfilled,2026-07-02
INT-60185,EMP7036,System Access,2026-07-17,Fulfilled,2026-07-08
INT-60186,EMP7037,Laptop,2026-07-31,Fulfilled,2026-07-04
INT-60187,EMP7037,Email,2026-07-15,Fulfilled,2026-07-08
INT-60188,EMP7037,Badge,2026-08-03,Requested,
INT-60189,EMP7037,VPN,2026-08-05,Fulfilled,2026-07-01
INT-60190,EMP7037,System Access,2026-07-11,Fulfilled,2026-07-01
INT-60191,EMP7038,Laptop,2026-08-08,Fulfilled,2026-07-12
INT-60192,EMP7038,Email,2026-07-26,Fulfilled,2026-07-04
INT-60193,EMP7038,Badge,2026-07-22,Requested,
INT-60194,EMP7038,VPN,2026-08-06,Requested,
INT-60195,EMP7038,System Access,2026-07-20,Requested,
INT-60196,EMP7039,Laptop,2026-07-09,Fulfilled,2026-07-15
INT-60197,EMP7039,Email,2026-07-16,Fulfilled,2026-07-07
INT-60198,EMP7039,Badge,2026-07-09,Requested,
INT-60199,EMP7039,VPN,2026-07-17,Fulfilled,2026-07-05
INT-60200,EMP7039,System Access,2026-07-28,Fulfilled,2026-07-12
INT-60201,EMP7040,Laptop,2026-07-19,Fulfilled,2026-06-30
INT-60202,EMP7040,Email,2026-07-31,Fulfilled,2026-07-02
INT-60203,EMP7040,Badge,2026-07-05,Fulfilled,2026-07-10
INT-60204,EMP7040,VPN,2026-07-14,Requested,
INT-60205,EMP7040,System Access,2026-08-05,Requested,
INT-60206,EMP7041,Laptop,2026-07-22,Blocked,
INT-60207,EMP7041,Email,2026-07-07,Blocked,
INT-60208,EMP7041,Badge,2026-07-29,Requested,
INT-60209,EMP7041,VPN,2026-07-22,Fulfilled,2026-07-13
INT-60210,EMP7041,System Access,2026-07-13,Fulfilled,2026-07-04
INT-60211,EMP7042,Laptop,2026-07-21,Requested,
INT-60212,EMP7042,Email,2026-07-20,Fulfilled,2026-07-08
INT-60213,EMP7042,Badge,2026-07-29,Fulfilled,2026-07-01
INT-60214,EMP7042,VPN,2026-07-29,Blocked,
INT-60215,EMP7042,System Access,2026-07-17,Fulfilled,2026-07-15
INT-60216,EMP7043,Laptop,2026-07-30,Fulfilled,2026-07-14
INT-60217,EMP7043,Email,2026-07-28,Fulfilled,2026-07-14
INT-60218,EMP7043,Badge,2026-08-02,Fulfilled,2026-07-13
INT-60219,EMP7043,VPN,2026-07-21,Fulfilled,2026-07-04
INT-60220,EMP7043,System Access,2026-07-16,Fulfilled,2026-07-08
INT-60221,EMP7044,Laptop,2026-07-22,Fulfilled,2026-07-05
INT-60222,EMP7044,Email,2026-07-15,Fulfilled,2026-07-01
INT-60223,EMP7044,Badge,2026-07-26,Requested,
INT-60224,EMP7044,VPN,2026-07-10,Fulfilled,2026-07-06
INT-60225,EMP7044,System Access,2026-07-31,Fulfilled,2026-06-30
INT-60226,EMP7045,Laptop,2026-07-23,Fulfilled,2026-07-06
INT-60227,EMP7045,Email,2026-07-12,Blocked,
INT-60228,EMP7045,Badge,2026-07-13,Requested,
INT-60229,EMP7045,VPN,2026-07-09,Requested,
INT-60230,EMP7045,System Access,2026-07-20,Fulfilled,2026-07-08
INT-60231,EMP7046,Laptop,2026-07-19,Fulfilled,2026-07-02
INT-60232,EMP7046,Email,2026-08-01,Fulfilled,2026-07-09
INT-60233,EMP7046,Badge,2026-08-04,Fulfilled,2026-07-09
INT-60234,EMP7046,VPN,2026-07-21,Fulfilled,2026-07-04
INT-60235,EMP7046,System Access,2026-07-13,Fulfilled,2026-07-15
INT-60236,EMP7047,Laptop,2026-07-20,Fulfilled,2026-07-05
INT-60237,EMP7047,Email,2026-07-19,Fulfilled,2026-07-11
INT-60238,EMP7047,Badge,2026-07-14,Fulfilled,2026-07-08
INT-60239,EMP7047,VPN,2026-07-30,Requested,
INT-60240,EMP7047,System Access,2026-07-24,Fulfilled,2026-07-08
INT-60241,EMP7048,Laptop,2026-07-21,Fulfilled,2026-07-04
INT-60242,EMP7048,Email,2026-07-30,Fulfilled,2026-07-14
INT-60243,EMP7048,Badge,2026-07-06,Requested,
INT-60244,EMP7048,VPN,2026-08-03,Fulfilled,2026-07-11
INT-60245,EMP7048,System Access,2026-07-22,Requested,
INT-60246,EMP7049,Laptop,2026-07-12,Fulfilled,2026-07-15
INT-60247,EMP7049,Email,2026-07-22,Fulfilled,2026-07-03
INT-60248,EMP7049,Badge,2026-07-15,Fulfilled,2026-07-01
INT-60249,EMP7049,VPN,2026-07-28,Fulfilled,2026-07-03
INT-60250,EMP7049,System Access,2026-08-08,Blocked,
INT-60251,EMP7050,Laptop,2026-07-12,Fulfilled,2026-07-14
INT-60252,EMP7050,Email,2026-07-21,Fulfilled,2026-07-04
INT-60253,EMP7050,Badge,2026-07-31,Requested,
INT-60254,EMP7050,VPN,2026-07-24,Fulfilled,2026-07-13
INT-60255,EMP7050,System Access,2026-07-13,Fulfilled,2026-07-15
INT-60256,EMP7051,Laptop,2026-08-09,Requested,
INT-60257,EMP7051,Email,2026-07-05,Fulfilled,2026-07-10
INT-60258,EMP7051,Badge,2026-08-04,Fulfilled,2026-07-14
INT-60259,EMP7051,VPN,2026-07-07,Fulfilled,2026-07-11
INT-60260,EMP7051,System Access,2026-07-19,Fulfilled,2026-07-14
INT-60261,EMP7052,Laptop,2026-07-15,Requested,
INT-60262,EMP7052,Email,2026-07-30,Requested,
INT-60263,EMP7052,Badge,2026-08-01,Fulfilled,2026-07-10
INT-60264,EMP7052,VPN,2026-08-06,Fulfilled,2026-07-10
INT-60265,EMP7052,System Access,2026-08-05,Fulfilled,2026-07-02
INT-60266,EMP7053,Laptop,2026-07-25,Fulfilled,2026-07-04
INT-60267,EMP7053,Email,2026-07-24,Fulfilled,2026-07-03
INT-60268,EMP7053,Badge,2026-07-27,Fulfilled,2026-07-10
INT-60269,EMP7053,VPN,2026-07-28,Fulfilled,2026-07-02
INT-60270,EMP7053,System Access,2026-07-06,Requested,
INT-60271,EMP7054,Laptop,2026-07-12,Fulfilled,2026-07-01
INT-60272,EMP7054,Email,2026-07-12,Fulfilled,2026-07-13
INT-60273,EMP7054,Badge,2026-08-02,Fulfilled,2026-07-03
INT-60274,EMP7054,VPN,2026-07-07,Requested,
INT-60275,EMP7054,System Access,2026-08-06,Fulfilled,2026-07-08
INT-60276,EMP7055,Laptop,2026-07-05,Fulfilled,2026-07-10
INT-60277,EMP7055,Email,2026-07-15,Fulfilled,2026-06-30
INT-60278,EMP7055,Badge,2026-07-27,Requested,
INT-60279,EMP7055,VPN,2026-07-15,Blocked,
INT-60280,EMP7055,System Access,2026-08-02,Fulfilled,2026-07-12
INT-60281,EMP7056,Laptop,2026-08-06,Fulfilled,2026-07-12
INT-60282,EMP7056,Email,2026-07-10,Requested,
INT-60283,EMP7056,Badge,2026-07-21,Fulfilled,2026-07-13
INT-60284,EMP7056,VPN,2026-07-05,Requested,
INT-60285,EMP7056,System Access,2026-07-07,Fulfilled,2026-07-08
INT-60286,EMP7057,Laptop,2026-08-07,Fulfilled,2026-07-09
INT-60287,EMP7057,Email,2026-07-18,Requested,
INT-60288,EMP7057,Badge,2026-07-18,Blocked,
INT-60289,EMP7057,VPN,2026-07-21,Blocked,
INT-60290,EMP7057,System Access,2026-07-10,Requested,
INT-60291,EMP7058,Laptop,2026-07-29,Blocked,
INT-60292,EMP7058,Email,2026-07-23,Fulfilled,2026-07-03
INT-60293,EMP7058,Badge,2026-08-07,Requested,
INT-60294,EMP7058,VPN,2026-07-11,Requested,
INT-60295,EMP7058,System Access,2026-08-06,Fulfilled,2026-07-13
INT-60296,EMP7059,Laptop,2026-07-20,Fulfilled,2026-07-03
INT-60297,EMP7059,Email,2026-07-24,Fulfilled,2026-07-01
INT-60298,EMP7059,Badge,2026-07-05,Fulfilled,2026-07-09
INT-60299,EMP7059,VPN,2026-08-03,Requested,
INT-60300,EMP7059,System Access,2026-08-08,Fulfilled,2026-07-03
INT-60301,EMP7060,Laptop,2026-05-30,Fulfilled,2026-06-08
INT-60302,EMP7060,Email,2026-05-27,Fulfilled,2026-06-02
INT-60303,EMP7060,Badge,2026-05-17,Blocked,
INT-60304,EMP7060,VPN,2026-05-22,Fulfilled,2026-05-23
INT-60305,EMP7060,System Access,2026-05-25,Requested,
INT-60306,EMP7061,Laptop,2026-05-18,Fulfilled,2026-05-14
INT-60307,EMP7061,Email,2026-05-25,Fulfilled,2026-06-04
INT-60308,EMP7061,Badge,2026-06-02,Blocked,
INT-60309,EMP7061,VPN,2026-05-18,Fulfilled,2026-05-19
INT-60310,EMP7061,System Access,2026-05-19,Fulfilled,2026-05-15
INT-60311,EMP7062,Laptop,2026-05-28,Fulfilled,2026-06-08
INT-60312,EMP7062,Email,2026-05-23,Fulfilled,2026-05-23
INT-60313,EMP7062,Badge,2026-05-27,Blocked,
INT-60314,EMP7062,VPN,2026-05-25,Fulfilled,2026-05-27
INT-60315,EMP7062,System Access,2026-05-23,Requested,
INT-60316,EMP7063,Laptop,2026-05-20,Blocked,
INT-60317,EMP7063,Email,2026-06-02,Fulfilled,2026-05-27
INT-60318,EMP7063,Badge,2026-05-25,Blocked,
INT-60319,EMP7063,VPN,2026-05-25,Fulfilled,2026-05-31
INT-60320,EMP7063,System Access,2026-05-28,Requested,
INT-60321,EMP7064,Laptop,2026-05-16,Fulfilled,2026-05-26
INT-60322,EMP7064,Email,2026-05-20,Fulfilled,2026-05-21
INT-60323,EMP7064,Badge,2026-05-23,Blocked,
INT-60324,EMP7064,VPN,2026-05-22,Fulfilled,2026-05-23
INT-60325,EMP7064,System Access,2026-06-01,Requested,
INT-60326,EMP7065,Laptop,2026-06-03,Blocked,
INT-60327,EMP7065,Email,2026-05-31,Blocked,
INT-60328,EMP7065,Badge,2026-05-31,Blocked,
INT-60329,EMP7065,VPN,2026-05-27,Fulfilled,2026-05-31
INT-60330,EMP7065,System Access,2026-05-23,Fulfilled,2026-05-30
INT-60331,EMP7066,Laptop,2026-05-22,Fulfilled,2026-05-30
INT-60332,EMP7066,Email,2026-06-02,Fulfilled,2026-06-07
INT-60333,EMP7066,Badge,2026-05-20,Blocked,
INT-60334,EMP7066,VPN,2026-06-03,Fulfilled,2026-06-06
INT-60335,EMP7066,System Access,2026-05-16,Fulfilled,2026-05-21
INT-60336,EMP7067,Laptop,2026-05-26,Fulfilled,2026-06-02
INT-60337,EMP7067,Email,2026-05-29,Requested,
INT-60338,EMP7067,Badge,2026-05-28,Blocked,
INT-60339,EMP7067,VPN,2026-06-02,Fulfilled,2026-06-06
INT-60340,EMP7067,System Access,2026-06-03,Fulfilled,2026-06-15
INT-60341,EMP7068,Laptop,2026-05-17,Fulfilled,2026-05-15
INT-60342,EMP7068,Email,2026-05-26,Requested,
INT-60343,EMP7068,Badge,2026-06-03,Blocked,
INT-60344,EMP7068,VPN,2026-05-28,Fulfilled,2026-05-28
INT-60345,EMP7068,System Access,2026-05-28,Fulfilled,2026-06-08
INT-60346,EMP7069,Laptop,2026-05-27,Fulfilled,2026-06-05
INT-60347,EMP7069,Email,2026-05-18,Fulfilled,2026-05-30
INT-60348,EMP7069,Badge,2026-05-29,Blocked,
INT-60349,EMP7069,VPN,2026-05-24,Fulfilled,2026-05-23
INT-60350,EMP7069,System Access,2026-05-18,Requested,
INT-60351,EMP7070,Laptop,2026-06-01,Fulfilled,2026-05-27
INT-60352,EMP7070,Email,2026-05-30,Fulfilled,2026-05-29
INT-60353,EMP7070,Badge,2026-05-21,Blocked,
INT-60354,EMP7070,VPN,2026-05-17,Fulfilled,2026-05-20
INT-60355,EMP7070,System Access,2026-05-21,Fulfilled,2026-05-24
INT-60356,EMP7071,Laptop,2026-06-01,Fulfilled,2026-06-09
INT-60357,EMP7071,Email,2026-05-17,Fulfilled,2026-05-27
INT-60358,EMP7071,Badge,2026-05-16,Blocked,
INT-60359,EMP7071,VPN,2026-05-21,Fulfilled,2026-05-28
INT-60360,EMP7071,System Access,2026-05-28,Fulfilled,2026-05-25
INT-60361,EMP7072,Laptop,2026-06-30,Fulfilled,2026-07-07
INT-60362,EMP7072,Email,2026-07-11,Blocked,
INT-60363,EMP7072,Badge,2026-06-28,Fulfilled,2026-06-28
INT-60364,EMP7072,VPN,2026-06-30,Fulfilled,2026-07-03
INT-60365,EMP7072,System Access,2026-07-09,Requested,
INT-60366,EMP7073,Laptop,2026-07-18,Fulfilled,2026-07-30
INT-60367,EMP7073,Email,2026-07-12,Requested,
INT-60368,EMP7073,Badge,2026-07-09,Fulfilled,2026-07-17
INT-60369,EMP7073,VPN,2026-07-11,Fulfilled,2026-07-05
INT-60370,EMP7073,System Access,2026-07-07,Fulfilled,2026-07-03
INT-60371,EMP7074,Laptop,2026-06-03,Requested,
INT-60372,EMP7074,Email,2026-05-29,Fulfilled,2026-06-02
INT-60373,EMP7074,Badge,2026-06-09,Fulfilled,2026-06-17
INT-60374,EMP7074,VPN,2026-06-05,Requested,
INT-60375,EMP7074,System Access,2026-05-23,Blocked,
INT-60376,EMP7075,Laptop,2026-06-10,Fulfilled,2026-06-18
INT-60377,EMP7075,Email,2026-06-19,Requested,
INT-60378,EMP7075,Badge,2026-06-17,Fulfilled,2026-06-16
INT-60379,EMP7075,VPN,2026-06-21,Fulfilled,2026-06-20
INT-60380,EMP7075,System Access,2026-06-21,Fulfilled,2026-06-27
INT-60381,EMP7076,Laptop,2026-05-27,Requested,
INT-60382,EMP7076,Email,2026-06-09,Fulfilled,2026-06-15
INT-60383,EMP7076,Badge,2026-05-23,Fulfilled,2026-05-22
INT-60384,EMP7076,VPN,2026-05-30,Requested,
INT-60385,EMP7076,System Access,2026-06-08,Fulfilled,2026-06-04
INT-60386,EMP7077,Laptop,2026-08-10,Fulfilled,2026-08-17
INT-60387,EMP7077,Email,2026-08-21,Fulfilled,2026-08-26
INT-60388,EMP7077,Badge,2026-08-06,Blocked,
INT-60389,EMP7077,VPN,2026-08-07,Fulfilled,2026-08-11
INT-60390,EMP7077,System Access,2026-08-17,Fulfilled,2026-08-16
INT-60391,EMP7078,Laptop,2026-08-08,Fulfilled,2026-08-18
INT-60392,EMP7078,Email,2026-08-01,Fulfilled,2026-07-26
INT-60393,EMP7078,Badge,2026-08-02,Requested,
INT-60394,EMP7078,VPN,2026-08-14,Fulfilled,2026-08-18
INT-60395,EMP7078,System Access,2026-08-12,Fulfilled,2026-08-18
INT-60396,EMP7079,Laptop,2026-06-06,Fulfilled,2026-06-08
INT-60397,EMP7079,Email,2026-06-08,Requested,
INT-60398,EMP7079,Badge,2026-06-09,Fulfilled,2026-06-17
INT-60399,EMP7079,VPN,2026-06-20,Fulfilled,2026-06-16
INT-60400,EMP7079,System Access,2026-06-07,Fulfilled,2026-06-08
INT-60401,EMP7080,Laptop,2026-08-16,Blocked,
INT-60402,EMP7080,Email,2026-08-06,Fulfilled,2026-08-08
INT-60403,EMP7080,Badge,2026-08-07,Fulfilled,2026-08-01
INT-60404,EMP7080,VPN,2026-08-05,Fulfilled,2026-08-08
INT-60405,EMP7080,System Access,2026-08-05,Blocked,
