dep_id,employee_id,team,task,status,blocks_day_one
DEP-10075,EMP7018,Facilities,Issue building badge,Done,true
DEP-10076,EMP7018,Security,Badge printing & activation,In Progress,true
DEP-10077,EMP7019,IT,Provision laptop image,In Progress,false
DEP-10078,EMP7019,Payroll,Register statutory contributions,In Progress,false
DEP-10079,EMP7019,Facilities,Issue building badge,Done,true
DEP-10080,EMP7019,Security,Badge printing & activation,Done,true
DEP-10081,EMP7020,IT,Provision laptop image,In Progress,false
DEP-10082,EMP7020,Payroll,Set up payroll & bank details,Done,false
DEP-10083,EMP7020,Facilities,Assign desk/seating,In Progress,false
DEP-10084,EMP7020,Security,Badge printing & activation,In Progress,true
DEP-10085,EMP7021,IT,Provision laptop image,In Progress,false
DEP-10086,EMP7021,Payroll,Register statutory contributions,Done,false
DEP-10087,EMP7021,Facilities,Issue building badge,In Progress,true
DEP-10088,EMP7021,Security,Badge printing & activation,In Progress,true
DEP-10089,EMP7022,IT,Provision laptop image,Done,false
DEP-10090,EMP7022,Payroll,Register statutory contributions,Blocked,true
DEP-10091,EMP7022,Facilities,Assign desk/seating,In Progress,false
DEP-10092,EMP7022,Security,Badge printing & activation,Done,true
DEP-10093,EMP7023,IT,Grant SSO/system access,Blocked,false
DEP-10094,EMP7023,Payroll,Register statutory contributions,Done,false
DEP-10095,EMP7023,Facilities,Issue building badge,In Progress,true
DEP-10096,EMP7023,Security,Badge printing & activation,In Progress,true
DEP-10097,EMP7024,IT,Provision laptop image,In Progress,false
DEP-10098,EMP7024,Payroll,Register statutory contributions,In Progress,false
DEP-10099,EMP7024,Facilities,Assign desk/seating,In Progress,false
DEP-10100,EMP7024,Security,Badge printing & activation,Done,true
DEP-10101,EMP7025,IT,Provision laptop image,Done,false
DEP-10102,EMP7025,Payroll,Set up payroll & bank details,Done,false
DEP-10103,EMP7025,Facilities,Issue building badge,Done,true
DEP-10104,EMP7025,Security,Badge printing & activation,Done,true
DEP-10105,EMP7026,IT,Grant SSO/system access,In Progress,false
DEP-10106,EMP7026,Payroll,Register statutory contributions,Blocked,false
DEP-10107,EMP7026,Facilities,Issue building badge,Done,true
DEP-10108,EMP7026,Security,Background check clearance,Blocked,false
DEP-10109,EMP7027,IT,Grant SSO/system access,Done,false
DEP-10110,EMP7027,Payroll,Register statutory contributions,Done,false
DEP-10111,EMP7027,Facilities,Assign desk/seating,Done,true
DEP-10112,EMP7027,Security,Badge printing & activation,In Progress,true
DEP-10113,EMP7028,IT,Provision laptop image,Done,false
DEP-10114,EMP7028,Payroll,Register statutory contributions,Done,true
DEP-10115,EMP7028,Facilities,Issue building badge,Done,true
DEP-10116,EMP7028,Security,Background check clearance,Done,false
DEP-10117,EMP7029,IT,Provision laptop image,Done,false
DEP-10118,EMP7029,Payroll,Register statutory contributions,Done,true
DEP-10119,EMP7029,Facilities,Assign desk/seating,Done,false
DEP-10120,EMP7029,Security,Background check clearance,Done,true
DEP-10121,EMP7030,IT,Provision laptop image,Done,false
DEP-10122,EMP7030,Payroll,Register statutory contributions,Done,false
DEP-10123,EMP7030,Facilities,Assign desk/seating,In Progress,false
DEP-10124,EMP7030,Security,Badge printing & activation,Done,true
DEP-10125,EMP7031,IT,Grant SSO/system access,In Progress,false
DEP-10126,EMP7031,Payroll,Register statutory contributions,Done,false
DEP-10127,EMP7031,Facilities,Issue building badge,Done,true
DEP-10128,EMP7031,Security,Background check clearance,Done,false
DEP-10129,EMP7032,IT,Provision laptop image,In Progress,false
DEP-10130,EMP7032,Payroll,Set up payroll & bank details,Done,false
DEP-10131,EMP7032,Facilities,Assign desk/seating,In Progress,false
DEP-10132,EMP7032,Security,Badge printing & activation,Done,true
DEP-10133,EMP7033,IT,Provision laptop image,Done,false
DEP-10134,EMP7033,Payroll,Register statutory contributions,In Progress,false
DEP-10135,EMP7033,Facilities,Assign desk/seating,Done,false
DEP-10136,EMP7033,Security,Background check clearance,Done,false
DEP-10137,EMP7034,IT,Grant SSO/system access,Blocked,true
DEP-10138,EMP7034,Payroll,Set up payroll & bank details,Done,false
DEP-10139,EMP7034,Facilities,Assign desk/seating,Done,false
DEP-10140,EMP7034,Security,Background check clearance,Done,true
DEP-10141,EMP7035,IT,Grant SSO/system access,Blocked,false
DEP-10142,EMP7035,Payroll,Set up payroll & bank details,Done,false
DEP-10143,EMP7035,Facilities,Assign desk/seating,Done,false
DEP-10144,EMP7035,Security,Badge printing & activation,Done,true
DEP-10145,EMP7036,IT,Grant SSO/system access,Done,false
DEP-10146,EMP7036,Payroll,Register statutory contributions,Done,true
DEP-10147,EMP7036,Facilities,Issue building badge,In Progress,true
DEP-10148,EMP7036,Security,Background check clearance,Done,false
DEP-10149,EMP7037,IT,Provision laptop image,Done,false
DEP-10150,EMP7037,Payroll,Set up payroll & bank details,In Progress,false
DEP-10151,EMP7037,Facilities,Assign desk/seating,Done,false
DEP-10152,EMP7037,Security,Background check clearance,Done,false
DEP-10153,EMP7038,IT,Grant SSO/system access,Done,false
DEP-10154,EMP7038,Payroll,Set up payroll & bank details,Done,false
DEP-10155,EMP7038,Facilities,Issue building badge,In Progress,true
DEP-10156,EMP7038,Security,Badge printing & activation,In Progress,true
DEP-10157,EMP7039,IT,Provision laptop image,Done,false
DEP-10158,EMP7039,Payroll,Register statutory contributions,In Progress,false
DEP-10159,EMP7039,Facilities,Issue building badge,Done,true
DEP-10160,EMP7039,Security,Background check clearance,Done,false
DEP-10161,EMP7040,IT,Grant SSO/system access,Done,false
DEP-10162,EMP7040,Payroll,Register statutory contributions,Done,false
DEP-10163,EMP7040,Facilities,Issue building badge,Done,true
DEP-10164,EMP7040,Security,Background check clearance,Done,false
DEP-10165,EMP7041,IT,Grant SSO/system access,Done,true
DEP-10166,EMP7041,Payroll,Set up payroll & bank details,Done,true
DEP-10167,EMP7041,Facilities,Assign desk/seating,Done,false
DEP-10168,EMP7041,Security,Badge printing & activation,In Progress,true
DEP-10169,EMP7042,IT,Provision laptop image,Done,false
DEP-10170,EMP7042,Payroll,Set up payroll & bank details,Blocked,false
DEP-10171,EMP7042,Facilities,Assign desk/seating,Blocked,false
DEP-10172,EMP7042,Security,Badge printing & activation,Done,true
DEP-10173,EMP7043,IT,Grant SSO/system access,In Progress,false
DEP-10174,EMP7043,Payroll,Set up payroll & bank details,In Progress,false
DEP-10175,EMP7043,Facilities,Issue building badge,Done,true
DEP-10176,EMP7043,Security,Background check clearance,In Progress,false
DEP-10177,EMP7044,IT,Provision laptop image,Done,false
DEP-10178,EMP7044,Payroll,Register statutory contributions,In Progress,true
DEP-10179,EMP7044,Facilities,Assign desk/seating,Done,false
DEP-10180,EMP7044,Security,Background check clearance,Blocked,false
DEP-10181,EMP7045,IT,Grant SSO/system access,Done,false
DEP-10182,EMP7045,Payroll,Register statutory contributions,Blocked,false
DEP-10183,EMP7045,Facilities,Assign desk/seating,Done,false
DEP-10184,EMP7045,Security,Background check clearance,Done,false
DEP-10185,EMP7046,IT,Grant SSO/system access,Done,true
DEP-10186,EMP7046,Payroll,Register statutory contributions,Blocked,false
DEP-10187,EMP7046,Facilities,Assign desk/seating,Done,false
DEP-10188,EMP7046,Security,Badge printing & activation,Blocked,true
DEP-10189,EMP7047,IT,Grant SSO/system access,In Progress,false
DEP-10190,EMP7047,Payroll,Register statutory contributions,Done,false
DEP-10191,EMP7047,Facilities,Assign desk/seating,Done,false
DEP-10192,EMP7047,Security,Badge printing & activation,Done,true
DEP-10193,EMP7048,IT,Provision laptop image,Done,false
DEP-10194,EMP7048,Payroll,Register statutory contributions,Done,false
DEP-10195,EMP7048,Facilities,Issue building badge,Done,true
DEP-10196,EMP7048,Security,Badge printing & activation,In Progress,true
DEP-10197,EMP7049,IT,Provision laptop image,Done,false
DEP-10198,EMP7049,Payroll,Set up payroll & bank details,Done,false
DEP-10199,EMP7049,Facilities,Assign desk/seating,In Progress,false
DEP-10200,EMP7049,Security,Background check clearance,Done,true
DEP-10201,EMP7050,IT,Provision laptop image,Done,false
DEP-10202,EMP7050,Payroll,Register statutory contributions,Done,false
DEP-10203,EMP7050,Facilities,Assign desk/seating,In Progress,false
DEP-10204,EMP7050,Security,Background check clearance,Done,false
DEP-10205,EMP7051,IT,Provision laptop image,In Progress,false
DEP-10206,EMP7051,Payroll,Set up payroll & bank details,Done,false
DEP-10207,EMP7051,Facilities,Assign desk/seating,Done,true
DEP-10208,EMP7051,Security,Background check clearance,Done,false
DEP-10209,EMP7052,IT,Provision laptop image,Blocked,false
DEP-10210,EMP7052,Payroll,Register statutory contributions,Blocked,false
DEP-10211,EMP7052,Facilities,Assign desk/seating,In Progress,false
DEP-10212,EMP7052,Security,Background check clearance,Done,false
DEP-10213,EMP7053,IT,Grant SSO/system access,Done,false
DEP-10214,EMP7053,Payroll,Register statutory contributions,In Progress,false
DEP-10215,EMP7053,Facilities,Issue building badge,Done,true
DEP-10216,EMP7053,Security,Background check clearance,Done,false
DEP-10217,EMP7054,IT,Grant SSO/system access,Done,false
DEP-10218,EMP7054,Payroll,Register statutory contributions,Done,false
DEP-10219,EMP7054,Facilities,Issue building badge,Done,true
DEP-10220,EMP7054,Security,Badge printing & activation,Done,true
DEP-10221,EMP7055,IT,Provision laptop image,Done,true
DEP-10222,EMP7055,Payroll,Set up payroll & bank details,Done,false
DEP-10223,EMP7055,Facilities,Assign desk/seating,Done,false
DEP-10224,EMP7055,Security,Badge printing & activation,Blocked,true
DEP-10225,EMP7056,IT,Grant SSO/system access,Done,false
DEP-10226,EMP7056,Payroll,Register statutory contributions,Done,true
DEP-10227,EMP7056,Facilities,Assign desk/seating,Done,false
DEP-10228,EMP7056,Security,Badge printing & activation,Done,true
DEP-10229,EMP7057,IT,Provision laptop image,Done,false
DEP-10230,EMP7057,Payroll,Set up payroll & bank details,Done,true
DEP-10231,EMP7057,Facilities,Assign desk/seating,In Progress,false
DEP-10232,EMP7057,Security,Background check clearance,Done,false
DEP-10233,EMP7058,IT,Provision laptop image,In Progress,false
DEP-10234,EMP7058,Payroll,Set up payroll & bank details,In Progress,false
DEP-10235,EMP7058,Facilities,Assign desk/seating,Blocked,false
DEP-10236,EMP7058,Security,Badge printing & activation,In Progress,true
DEP-10237,EMP7059,IT,Grant SSO/system access,Done,false
DEP-10238,EMP7059,Payroll,Set up payroll & bank details,Done,false
DEP-10239,EMP7059,Facilities,Issue building badge,Done,true
DEP-10240,EMP7059,Security,Badge printing & activation,Done,true
DEP-10241,EMP7060,IT,Provision laptop image,Done,false
DEP-10242,EMP7060,Payroll,Register statutory contributions,Done,true
DEP-10243,EMP7060,Facilities,Assign desk/seating,Done,false
DEP-10244,EMP7060,Security,Badge printing & activation,Blocked,true
DEP-10245,EMP7061,IT,Grant SSO/system access,In Progress,true
DEP-10246,EMP7061,Payroll,Register statutory contributions,Done,false
DEP-10247,EMP7061,Facilities,Assign desk/seating,Done,false
DEP-10248,EMP7061,Security,Badge printing & activation,Blocked,true
DEP-10249,EMP7062,IT,Provision laptop image,Done,false
DEP-10250,EMP7062,Payroll,Set up payroll & bank details,In Progress,false
DEP-10251,EMP7062,Facilities,Assign desk/seating,In Progress,false
DEP-10252,EMP7062,Security,Badge printing & activation,Blocked,true
DEP-10253,EMP7063,IT,Provision laptop image,In Progress,true
DEP-10254,EMP7063,Payroll,Register statutory contributions,In Progress,false
DEP-10255,EMP7063,Facilities,Issue building badge,In Progress,true
DEP-10256,EMP7063,Security,Badge printing & activation,Blocked,true
DEP-10257,EMP7064,IT,Grant SSO/system access,Done,false
DEP-10258,EMP7064,Payroll,Register statutory contributions,Done,false
DEP-10259,EMP7064,Facilities,Issue building badge,Done,true
DEP-10260,EMP7064,Security,Badge printing & activation,Blocked,true
DEP-10261,EMP7065,IT,Grant SSO/system access,Done,false
DEP-10262,EMP7065,Payroll,Set up payroll & bank details,Done,false
DEP-10263,EMP7065,Facilities,Issue building badge,In Progress,true
DEP-10264,EMP7065,Security,Badge printing & activation,Blocked,true
DEP-10265,EMP7066,IT,Provision laptop image,Done,false
DEP-10266,EMP7066,Payroll,Set up payroll & bank details,In Progress,false
DEP-10267,EMP7066,Facilities,Assign desk/seating,Done,false
DEP-10268,EMP7066,Security,Badge printing & activation,Blocked,true
DEP-10269,EMP7067,IT,Provision laptop image,Done,false
DEP-10270,EMP7067,Payroll,Register statutory contributions,Done,false
DEP-10271,EMP7067,Facilities,Issue building badge,Done,true
DEP-10272,EMP7067,Security,Badge printing & activation,Blocked,true
DEP-10273,EMP7068,IT,Grant SSO/system access,Done,false
DEP-10274,EMP7068,Payroll,Set up payroll & bank details,In Progress,false
DEP-10275,EMP7068,Facilities,Assign desk/seating,In Progress,false
DEP-10276,EMP7068,Security,Badge printing & activation,Blocked,true
DEP-10277,EMP7069,IT,Grant SSO/system access,In Progress,false
DEP-10278,EMP7069,Payroll,Register statutory contributions,Done,false
DEP-10279,EMP7069,Facilities,Issue building badge,Done,true
DEP-10280,EMP7069,Security,Badge printing & activation,Blocked,true
DEP-10281,EMP7070,IT,Grant SSO/system access,In Progress,false
DEP-10282,EMP7070,Payroll,Register statutory contributions,Done,true
DEP-10283,EMP7070,Facilities,Assign desk/seating,Blocked,false
DEP-10284,EMP7070,Security,Badge printing & activation,Blocked,true
DEP-10285,EMP7071,IT,Provision laptop image,Done,false
DEP-10286,EMP7071,Payroll,Set up payroll & bank details,In Progress,false
DEP-10287,EMP7071,Facilities,Issue building badge,Blocked,true
DEP-10288,EMP7071,Security,Badge printing & activation,Blocked,true
DEP-10289,EMP7072,IT,Provision laptop image,Done,false
DEP-10290,EMP7072,Payroll,Set up payroll & bank details,Done,false
DEP-10291,EMP7072,Facilities,Issue building badge,Done,true
DEP-10292,EMP7072,Security,Background check clearance,In Progress,false
DEP-10293,EMP7073,IT,Provision laptop image,Blocked,true
DEP-10294,EMP7073,Payroll,Set up payroll & bank details,Done,false
DEP-10295,EMP7073,Facilities,Issue building badge,Done,true
DEP-10296,EMP7073,Security,Background check clearance,Done,false
DEP-10297,EMP7074,IT,Provision laptop image,Blocked,false
DEP-10298,EMP7074,Payroll,Register statutory contributions,In Progress,false
DEP-10299,EMP7074,Facilities,Issue building badge,Done,true
DEP-10300,EMP7074,Security,Background check clearance,Done,false
DEP-10301,EMP7075,IT,Grant SSO/system access,Blocked,true
DEP-10302,EMP7075,Payroll,Register statutory contributions,Done,false
DEP-10303,EMP7075,Facilities,Issue building badge,In Progress,true
DEP-10304,EMP7075,Security,Badge printing & activation,In Progress,true
DEP-10305,EMP7076,IT,Provision laptop image,In Progress,false
DEP-10306,EMP7076,Payroll,Set up payroll & bank details,Done,false
DEP-10307,EMP7076,Facilities,Assign desk/seating,Done,true
DEP-10308,EMP7076,Security,Badge printing & activation,Done,true
DEP-10309,EMP7077,IT,Provision laptop image,Blocked,false
DEP-10310,EMP7077,Payroll,Register statutory contributions,Done,false
DEP-10311,EMP7077,Facilities,Assign desk/seating,Done,false
DEP-10312,EMP7077,Security,Badge printing & activation,Blocked,true
DEP-10313,EMP7078,IT,Grant SSO/system access,Blocked,false
DEP-10314,EMP7078,Payroll,Register statutory contributions,Done,true
DEP-10315,EMP7078,Facilities,Issue building badge,In Progress,true
DEP-10316,EMP7078,Security,Background check clearance,Blocked,true
DEP-10317,EMP7079,IT,Provision laptop image,Done,false
DEP-10318,EMP7079,Payroll,Set up payroll & bank details,Blocked,false
DEP-10319,EMP7079,Facilities,Issue building badge,Done,true
DEP-10320,EMP7079,Security,Badge printing & activation,Blocked,true
DEP-10321,EMP7080,IT,Grant SSO/system access,Done,false
DEP-10322,EMP7080,Payroll,Register statutory contributions,Blocked,false
DEP-10323,EMP7080,Facilities,Assign desk/seating,Blocked,false
DEP-10324,EMP7080,Security,Background check clearance,In Progress,false
DEP-10325,EMP7081,IT,Grant SSO/system access,Done,false
DEP-10326,EMP7081,Payroll,Set up payroll & bank details,Blocked,false
DEP-10327,EMP7081,Facilities,Issue building badge,In Progress,true
DEP-10328,EMP7081,Security,Badge printing & activation,Done,true
DEP-10329,EMP7082,IT,Provision laptop image,Blocked,false
DEP-10330,EMP7082,Payroll,Set up payroll & bank details,Done,false
DEP-10331,EMP7082,Facilities,Issue building badge,Done,true
DEP-10332,EMP7082,Security,Badge printing & activation,Done,true
DEP-10333,EMP7083,IT,Provision laptop image,Done,false
DEP-10334,EMP7083,Payroll,Register statutory contributions,In Progress,false
DEP-10335,EMP7083,Facilities,Issue building badge,Done,true
DEP-10336,EMP7083,Security,Badge printing & activation,Done,true
DEP-10337,EMP7084,IT,Grant SSO/system access,Done,false
DEP-10338,EMP7084,Payroll,Register statutory contributions,Done,false
DEP-10339,EMP7084,Facilities,Issue building badge,Blocked,true
DEP-10340,EMP7084,Security,Background check clearance,Blocked,false
DEP-10341,EMP7085,IT,Provision laptop image,Done,true
DEP-10342,EMP7085,Payroll,Set up payroll & bank details,Done,false
DEP-10343,EMP7085,Facilities,Assign desk/seating,In Progress,false
DEP-10344,EMP7085,Security,Background check clearance,Done,false
DEP-10345,EMP7086,IT,Provision laptop image,Done,false
DEP-10346,EMP7086,Payroll,Set up payroll & bank details,Done,false
DEP-10347,EMP7086,Facilities,Issue building badge,Done,true
DEP-10348,EMP7086,Security,Badge printing & activation,In Progress,true
DEP-10349,EMP7087,IT,Provision laptop image,Done,false
DEP-10350,EMP7087,Payroll,Set up payroll & bank details,In Progress,false
DEP-10351,EMP7087,Facilities,Assign desk/seating,In Progress,false
DEP-10352,EMP7087,Security,Background check clearance,In Progress,true
DEP-10353,EMP7088,IT,Provision laptop image,In Progress,false
DEP-10354,EMP7088,Payroll,Register statutory contributions,Done,false
DEP-10355,EMP7088,Facilities,Issue building badge,In Progress,true
DEP-10356,EMP7088,Security,Badge printing & activation,Done,true
DEP-10357,EMP7089,IT,Provision laptop image,In Progress,false
DEP-10358,EMP7089,Payroll,Set up payroll & bank details,Done,false
DEP-10359,EMP7089,Facilities,Assign desk/seating,Done,false
DEP-10360,EMP7089,Security,Background check clearance,Done,false
DEP-10361,EMP7090,IT,Provision laptop image,In Progress,false
DEP-10362,EMP7090,Payroll,Set up payroll & bank details,In Progress,false
DEP-10363,EMP7090,Facilities,Assign desk/seating,Done,false
DEP-10364,EMP7090,Security,Badge printing & activation,Done,true
DEP-10365,EMP7091,IT,Grant SSO/system access,Done,false
DEP-10366,EMP7091,Payroll,Register statutory contributions,Done,false
DEP-10367,EMP7091,Facilities,Issue building badge,Done,true
DEP-10368,EMP7091,Security,Background check clearance,Done,true
DEP-10369,EMP7092,IT,Grant SSO/system access,Done,false
DEP-10370,EMP7092,Payroll,Register statutory contributions,In Progress,true
DEP-10371,EMP7092,Facilities,Issue building badge,Done,true
DEP-10372,EMP7092,Security,Background check clearance,In Progress,false
DEP-10373,EMP7093,IT,Grant SSO/system access,Done,false
DEP-10374,EMP7093,Payroll,Set up payroll & bank details,In Progress,false
DEP-10375,EMP7093,Facilities,Issue building badge,Done,true
DEP-10376,EMP7093,Security,Badge printing & activation,Done,true
DEP-10377,EMP7094,IT,Grant SSO/system access,Done,false
DEP-10378,EMP7094,Payroll,Set up payroll & bank details,Done,false
DEP-10379,EMP7094,Facilities,Issue building badge,Done,true
DEP-10380,EMP7094,Security,Badge printing & activation,Done,true
DEP-10381,EMP7095,IT,Grant SSO/system access,In Progress,false
DEP-10382,EMP7095,Payroll,Register statutory contributions,In Progress,false
DEP-10383,EMP7095,Facilities,Issue building badge,Done,true
DEP-10384,EMP7095,Security,Background check clearance,In Progress,false
DEP-10385,EMP7096,IT,Grant SSO/system access,Done,false
DEP-10386,EMP7096,Payroll,Register statutory contributions,Done,false
DEP-10387,EMP7096,Facilities,Assign desk/seating,Blocked,false
DEP-10388,EMP7096,Security,Background check clearance,Done,true
DEP-10389,EMP7097,IT,Provision laptop image,Done,false
DEP-10390,EMP7097,Payroll,Register statutory contributions,Done,false
DEP-10391,EMP7097,Facilities,Issue building badge,Done,true
DEP-10392,EMP7097,Security,Badge printing & activation,Done,true
DEP-10393,EMP7098,IT,Grant SSO/system access,Blocked,false
DEP-10394,EMP7098,Payroll,Set up payroll & bank details,In Progress,false
DEP-10395,EMP7098,Facilities,Issue building badge,Blocked,true
DEP-10396,EMP7098,Security,Background check clearance,In Progress,false
DEP-10397,EMP7099,IT,Grant SSO/system access,Done,true
DEP-10398,EMP7099,Payroll,Register statutory contributions,Done,false
DEP-10399,EMP7099,Facilities,Assign desk/seating,Done,false
DEP-10400,EMP7099,Security,Badge printing & activation,Done,true
DEP-10401,EMP7100,IT,Grant SSO/system access,Done,false
DEP-10402,EMP7100,Payroll,Register statutory contributions,Done,false
DEP-10403,EMP7100,Facilities,Assign desk/seating,Blocked,false
DEP-10404,EMP7100,Security,Background check clearance,Done,true
DEP-10405,EMP7101,IT,Provision laptop image,Done,false
DEP-10406,EMP7101,Payroll,Set up payroll & bank details,Blocked,false
DEP-10407,EMP7101,Facilities,Issue building badge,In Progress,true
DEP-10408,EMP7101,Security,Badge printing & activation,Done,true
DEP-10409,EMP7102,IT,Grant SSO/system access,Blocked,false
DEP-10410,EMP7102,Payroll,Register statutory contributions,Done,false
DEP-10411,EMP7102,Facilities,Assign desk/seating,Done,false
DEP-10412,EMP7102,Security,Background check clearance,Done,false
DEP-10413,EMP7103,IT,Provision laptop image,In Progress,false
DEP-10414,EMP7103,Payroll,Register statutory contributions,Done,false
DEP-10415,EMP7103,Facilities,Assign desk/seating,Done,false
DEP-10416,EMP7103,Security,Badge printing & activation,Done,true
DEP-10417,EMP7104,IT,Grant SSO/system access,In Progress,false
DEP-10418,EMP7104,Payroll,Register statutory contributions,Done,false
DEP-10419,EMP7104,Facilities,Assign desk/seating,Done,false
DEP-10420,EMP7104,Security,Background check clearance,In Progress,false
DEP-10421,EMP7105,IT,Grant SSO/system access,In Progress,false
DEP-10422,EMP7105,Payroll,Register statutory contributions,Done,false
DEP-10423,EMP7105,Facilities,Assign desk/seating,In Progress,false
DEP-10424,EMP7105,Security,Background check clearance,Done,false
DEP-10425,EMP7106,IT,Provision laptop image,Done,false
DEP-10426,EMP7106,Payroll,Set up payroll & bank details,Done,false
DEP-10427,EMP7106,Facilities,Assign desk/seating,Done,false
DEP-10428,EMP7106,Security,Badge printing & activation,Done,true
DEP-10429,EMP7107,IT,Grant SSO/system access,Done,true
DEP-10430,EMP7107,Payroll,Set up payroll & bank details,Done,false
DEP-10431,EMP7107,Facilities,Assign desk/seating,In Progress,false
DEP-10432,EMP7107,Security,Background check clearance,Done,false
DEP-10433,EMP7108,IT,Provision laptop image,Done,false
DEP-10434,EMP7108,Payroll,Set up payroll & bank details,Done,false
DEP-10435,EMP7108,Facilities,Assign desk/seating,In Progress,true
DEP-10436,EMP7108,Security,Badge printing & activation,Done,true
DEP-10437,EMP7109,IT,Grant SSO/system access,Done,false
DEP-10438,EMP7109,Payroll,Set up payroll & bank details,In Progress,false
DEP-10439,EMP7109,Facilities,Issue building badge,Done,true
DEP-10440,EMP7109,Security,Background check clearance,Done,false
DEP-10441,EMP7110,IT,Provision laptop image,Done,false
