payroll_id,employee_id,cycle,gross,net,status,error_reason
PAY-40033,EMP7032,2026-08,6000,,Error,Prorated FTE not applied
PAY-40034,EMP7033,2026-07,4500,3706.44,Paid,
PAY-40035,EMP7034,2026-06,3200,2525.44,Paid,
PAY-40036,EMP7035,2026-07,3200,2735.19,Paid,
PAY-40037,EMP7036,2026-07,8500,7112.84,Paid,
PAY-40038,EMP7037,2026-05,8500,7241.85,Paid,
PAY-40039,EMP7038,2026-06,8500,6678.16,Paid,
PAY-40040,EMP7039,2026-09,5200,4078.73,Paid,
PAY-40041,EMP7040,2026-08,4500,3910.69,Paid,
PAY-40042,EMP7041,2026-06,4500,3689.02,Paid,
PAY-40043,EMP7042,2026-09,7200,5671.3,Paid,
PAY-40044,EMP7043,2026-07,4500,,Pending,
PAY-40045,EMP7044,2026-07,3800,3243.38,Paid,
PAY-40046,EMP7045,2026-09,4500,,Pending,
PAY-40047,EMP7046,2026-08,8500,7236.16,Paid,
PAY-40048,EMP7047,2026-07,4500,3641.71,Paid,
PAY-40049,EMP7048,2026-06,7200,6258.94,Paid,
PAY-40050,EMP7049,2026-08,4500,3736.55,Paid,
PAY-40051,EMP7050,2026-08,3200,2627.47,Paid,
PAY-40052,EMP7051,2026-06,6000,4727.07,Paid,
PAY-40053,EMP7052,2026-06,3800,,Pending,
PAY-40054,EMP7053,2026-08,6000,5125.15,Paid,
PAY-40055,EMP7054,2026-05,3800,3239.47,Paid,
PAY-40056,EMP7055,2026-06,8500,7461.22,Paid,
PAY-40057,EMP7056,2026-07,7200,6166.22,Paid,
PAY-40058,EMP7057,2026-07,3200,2763.62,Paid,
PAY-40059,EMP7058,2026-07,4500,3682.88,Paid,
PAY-40060,EMP7059,2026-08,8500,,Pending,
PAY-40061,EMP7060,2026-06,3200,2691.12,Paid,
PAY-40062,EMP7061,2026-06,5200,4254.95,Paid,
PAY-40063,EMP7062,2026-06,5200,,Error,Bank account validation failed; first salary not disbursed
PAY-40064,EMP7063,2026-06,3200,2617.38,Paid,
PAY-40065,EMP7064,2026-06,7200,5653.63,Paid,
PAY-40066,EMP7065,2026-06,4500,3853.35,Paid,
PAY-40067,EMP7066,2026-06,3200,,Pending,
PAY-40068,EMP7067,2026-06,8500,,Pending,
PAY-40069,EMP7068,2026-06,8500,,Pending,
PAY-40070,EMP7069,2026-06,8500,6814.06,Paid,
PAY-40071,EMP7070,2026-06,3200,2761.36,Paid,
PAY-40072,EMP7071,2026-06,5200,,Pending,
PAY-40073,EMP7072,2026-08,8500,7255.1,Paid,
PAY-40074,EMP7073,2026-08,3200,,Pending,
PAY-40075,EMP7074,2026-07,6000,5112.78,Paid,
PAY-40076,EMP7075,2026-07,7200,6329.44,Paid,
PAY-40077,EMP7076,2026-07,6000,5023.56,Paid,
PAY-40078,EMP7077,2026-09,6000,4836.06,Paid,
PAY-40079,EMP7078,2026-09,5200,4572.16,Paid,
PAY-40080,EMP7079,2026-07,3800,2969.77,Paid,
PAY-40081,EMP7080,2026-09,8500,6863.23,Paid,
PAY-40082,EMP7081,2026-08,3800,3076.41,Paid,
PAY-40083,EMP7082,2026-07,6000,5049.33,Paid,
PAY-40084,EMP7083,2026-09,4500,3622.73,Paid,
PAY-40085,EMP7084,2026-08,7200,,Pending,
PAY-40086,EMP7085,2026-08,6000,4864.14,Paid,
PAY-40087,EMP7086,2026-08,7200,5806.45,Paid,
PAY-40088,EMP7087,2026-08,3800,2970.56,Paid,
PAY-40089,EMP7088,2026-08,3200,2805.08,Paid,
PAY-40090,EMP7089,2026-08,5200,4345.44,Paid,
PAY-40091,EMP7090,2026-08,5200,4544.19,Paid,
PAY-40092,EMP7091,2026-09,4500,,Pending,
PAY-40093,EMP7092,2026-06,6000,4718.43,Paid,
PAY-40094,EMP7093,2026-06,3800,3262.96,Paid,
PAY-40095,EMP7094,2026-08,4500,,Pending,
PAY-40096,EMP7095,2026-06,3800,3030.31,Paid,
PAY-40097,EMP7096,2026-07,8500,6672.14,Paid,
PAY-40098,EMP7097,2026-08,3200,2554.96,Paid,
PAY-40099,EMP7098,2026-07,6000,,Pending,
PAY-40100,EMP7099,2026-06,6000,5012.04,Paid,
PAY-40101,EMP7100,2026-06,3800,3235.53,Paid,
PAY-40102,EMP7101,2026-06,4500,,Error,Tax residency code missing; net over-withheld and unreconciled
PAY-40103,EMP7102,2026-07,4500,3890.22,Paid,
PAY-40104,EMP7103,2026-06,8500,7240.57,Paid,
PAY-40105,EMP7104,2026-06,6000,4745.5,Paid,
PAY-40106,EMP7105,2026-08,6000,4986.62,Paid,
PAY-40107,EMP7106,2026-08,3800,3180.74,Paid,
PAY-40108,EMP7107,2026-06,8500,,Pending,
PAY-40109,EMP7108,2026-09,5200,4277.77,Paid,
PAY-40110,EMP7109,2026-07,4500,3656.94,Paid,
PAY-40111,EMP7110,2026-08,8500,7458.83,Paid,
PAY-40112,EMP7111,2026-07,7200,6294.59,Paid,
PAY-40113,EMP7112,2026-08,4500,3582.14,Paid,
PAY-40114,EMP7113,2026-08,3200,2544.02,Paid,
PAY-40115,EMP7114,2026-08,6000,5045.42,Paid,
PAY-40116,EMP7115,2026-08,8500,7238.4,Paid,
PAY-40117,EMP7116,2026-07,7200,6034.67,Paid,
PAY-40118,EMP7117,2026-07,4500,,Pending,
PAY-40119,EMP7118,2026-09,5200,,Pending,
PAY-40120,EMP7119,2026-08,3200,2544.02,Paid,
PAY-40121,EMP7120,2026-07,8500,,Error,Cost center mapping missing
PAY-40122,EMP7121,2026-07,3200,,Pending,
PAY-40123,EMP7122,2026-09,3800,3343.17,Paid,
PAY-40124,EMP7123,2026-07,7200,5917.02,Paid,
PAY-40125,EMP7124,2026-08,7200,6248.51,Paid,
PAY-40126,EMP7125,2026-08,8500,7031.48,Paid,
PAY-40127,EMP7126,2026-09,6000,4870.16,Paid,
PAY-40128,EMP7127,2026-08,3800,,Pending,
PAY-40129,EMP7128,2026-07,4500,,Pending,
PAY-40130,EMP7129,2026-09,4500,3855.44,Paid,
PAY-40131,EMP7130,2026-08,4500,3651.67,Paid,
PAY-40132,EMP7131,2026-06,3200,2638.4,Paid,
PAY-40133,EMP7132,2026-06,5200,4239.03,Paid,
PAY-40134,EMP7133,2026-06,6000,4897.38,Paid,
PAY-40135,EMP7134,2026-07,5200,4289.46,Paid,
PAY-40136,EMP7135,2026-09,5200,4486.47,Paid,
PAY-40137,EMP7136,2026-06,3800,,Pending,
PAY-40138,EMP7137,2026-08,3800,3118.89,Paid,
PAY-40139,EMP7138,2026-07,6000,5043.33,Paid,
PAY-40140,EMP7139,2026-08,8500,6896.77,Paid,
PAY-40141,EMP7140,2026-08,3200,2657.61,Paid,
PAY-40142,EMP7141,2026-08,3800,3204.4,Paid,
PAY-40143,EMP7142,2026-08,8500,6782.93,Paid,
PAY-40144,EMP7143,2026-07,5200,4118.81,Paid,
PAY-40145,EMP7144,2026-06,4500,3830.12,Paid,
PAY-40146,EMP7145,2026-09,5200,4121.73,Paid,
PAY-40147,EMP7146,2026-09,3200,,Pending,
PAY-40148,EMP7147,2026-06,3200,2812.78,Paid,
PAY-40149,EMP7148,2026-09,3800,3165.14,Paid,
PAY-40150,EMP7149,2026-07,5200,,Pending,
